Acer Saccharinum,0,0,0.017578,0.03125,0.017578,0
Acer Saccharinum,0,0,0.023438,0.021484,0.033203,0
Acer Saccharinum,0,0,0.019531,0.023438,0.019531,0
Acer Saccharinum,0,0,0.015625,0.048828,0.033203,0
Acer Saccharinum,0,0,0.041016,0.013672,0.037109,0
Acer Saccharinum,0,0,0.037109,0.033203,0.027344,0
Quercus Afares,0.005859,0.007812,0.025391,0.029297,0.001953,0.007812
Quercus Afares,0.007812,0.011719,0.042969,0.029297,0.003906,0.005859
Quercus Afares,0.009766,0.003906,0.058594,0.021484,0.001953,0.005859
Quercus Afares,0.017578,0.015625,0.046875,0.013672,0.005859,0.007812
Quercus Afares,0.013672,0.013672,0.029297,0.013672,0.005859,0.017578
Quercus Afares,0.011719,0.011719,0.019531,0.013672,0.001953,0.003906
